repository,packaging_style,region_id,cohesion,coupling,score,action,decision_confidence,boundary
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.enumeration.dao",0.5,0.9545,0.1894,reconstruct,0.3106,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.enumeration.domain",7,0.7308,0.5721,preserve,0.0721,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.enumeration.service",0.5,0.9231,0.2051,reconstruct,0.2949,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.event",1.2308,0.8280,0.3619,reconstruct,0.1381,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.exception",0.1538,0.9975,0.0679,reconstruct,0.4321,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.expression",0.5,0,0.6667,preserve,0.1667,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.extensibility",0.5,0.9545,0.1894,reconstruct,0.3106,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.extensibility.cache",0.5556,0.9684,0.1944,reconstruct,0.3056,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.extensibility.cache.ehcache",0.8,0.6757,0.3844,reconstruct,0.1156,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.extensibility.cache.jcache",0.5,0.9231,0.2051,reconstruct,0.2949,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.extensibility.config",0,0,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.extensibility.context.merge",3.7647,0.4754,0.6574,preserve,0.1574,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.extensibility.context.merge.exceptions",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.extensibility.context.merge.handlers",1.3125,0.4615,0.5530,preserve,0.0530,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.extensibility.jpa",0.5,0.88,0.2267,reconstruct,0.2733,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.extensibility.jpa.cache",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.extensibility.jpa.clone",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.extensibility.jpa.convert",0.75,0.9412,0.2437,reconstruct,0.2563,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.extensibility.jpa.convert.inheritance",3.5,0.3636,0.7071,preserve,0.2071,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.extensibility.jpa.copy",1.3846,0.9532,0.3137,reconstruct,0.1863,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.extensibility.jpa.hibernate",0,1,0,reconstruct,0.5,0.5
